x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,SubjID
0,1,2,0,0,0,0,1,3,5,1,3,0,0,3,10001
1,3,0,3,0,3,0,5,0,5,0,1,0,3,5,10002
0,0,0,0,0,5,0,0,0,5,0,0,5,0,5,10003
0,0,0,0,0,5,0,3,0,5,0,0,4,0,4,10004
0,3,3,2,0,3,3,0,3,5,0,1,3,2,3,10005
0,0,0,5,3,3,3,0,0,5,0,0,0,0,5,10006
3,3,0,0,0,0,0,5,0,5,1,0,5,5,5,10007
5,0,0,0,0,5,3,0,0,5,3,0,0,0,3,10008
0,5,3,5,0,5,0,0,3,5,0,0,0,5,2,10009
0,0,0,3,0,3,0,2,0,5,3,0,4,0,4,10010
4,0,0,0,0,3,0,3,0,5,0,0,0,0,4,10011
0,0,0,0,0,0,0,0,0,5,0,0,5,0,4,10012
0,0,0,0,0,0,0,3,0,5,3,0,0,0,5,10013
2,0,0,3,0,3,0,3,3,5,5,0,2,0,4,10014
0,5,3,3,0,3,0,5,0,5,3,0,0,3,3,10015
0,0,5,3,0,5,3,3,3,5,0,0,1,0,5,10016
3,3,3,3,0,3,0,3,3,5,3,0,0,0,3,10017
0,0,0,5,0,4,5,3,0,5,2,0,0,0,0,10018
0,3,0,3,0,3,3,3,0,5,0,0,0,4,5,10019
0,3,0,3,0,3,5,3,1,5,0,0,0,0,5,10020
2,0,0,3,1,3,5,1,1,5,3,0,1,0,3,10021
1,0,0,1,0,1,1,0,0,5,0,0,0,0,3,10022
1,3,3,3,0,3,1,1,1,5,1,0,0,5,2,10023
0,0,1,3,3,1,5,1,5,5,0,0,1,0,2,10024
1,1,1,1,0,3,3,0,1,5,3,0,0,3,1,10025
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10026
1,1,3,1,5,1,5,0,3,5,3,1,0,3,0,10027
1,1,0,0,0,3,5,3,5,5,3,1,0,3,0,10028
0,0,0,0,5,5,0,0,0,5,0,0,5,0,5,10029
1,3,0,3,0,3,0,5,0,5,0,1,0,3,5,10030
0,0,0,0,0,5,0,3,0,5,0,0,4,0,4,10031
0,3,3,2,0,3,3,0,3,5,0,1,3,2,3,10032
0,0,0,5,3,3,3,0,0,5,0,0,0,0,5,10033
1,0,3,4,1,5,5,0,5,5,0,0,0,0,0,10034
1,5,1,1,1,5,5,0,1,5,1,0,0,3,1,10035
0,1,5,3,0,1,5,0,1,5,1,1,0,3,1,10036
5,0,3,3,0,0,5,2,2,5,0,0,0,0,3,10037
3,3,0,0,0,3,0,0,0,5,1,0,0,2,3,10038
2,0,3,3,0,3,0,0,0,5,0,0,0,0,3,10039
3,3,3,3,0,3,0,0,0,5,0,0,0,1,3,10040
0,0,0,3,0,1,0,5,3,5,3,0,0,2,3,10041
0,5,0,3,0,5,0,3,3,5,0,0,1,3,1,10042
1,3,0,3,0,1,2,1,1,5,0,0,0,1,2,10043
3,0,3,3,0,1,3,1,3,5,3,0,0,0,3,10044
3,3,3,3,0,3,3,0,0,5,1,0,0,3,3,10045
0,0,3,3,0,0,5,1,1,5,3,0,0,1,1,10046
1,0,0,1,0,1,5,0,1,5,3,0,0,0,1,10047
1,1,3,3,5,1,5,0,1,5,3,0,0,1,1,10048
0,0,3,5,0,1,4,1,0,5,0,2,0,0,1,10049
0,0,1,1,0,1,5,0,1,5,1,0,0,0,1,10050
0,5,0,3,0,2,0,2,1,5,0,0,1,1,5,10051
0,0,1,1,0,5,3,4,4,5,0,0,5,0,5,10052
1,3,2,3,1,3,3,1,5,5,3,0,0,0,1,10053
4,3,2,1,1,2,2,0,1,5,1,0,0,5,5,10054
4,5,0,0,0,2,0,0,1,5,1,0,1,3,5,10055
2,5,2,1,0,1,2,1,0,5,4,0,0,2,5,10056
0,5,0,3,1,1,5,0,0,5,1,0,0,4,3,10057
0,1,0,0,0,0,0,0,0,5,1,1,0,4,4,10058
0,0,1,1,0,0,0,1,0,5,0,2,0,1,5,10059
1,1,2,2,1,1,2,0,4,5,0,0,0,2,5,10060
4,4,2,2,0,2,0,0,0,5,0,0,0,0,5,10061
3,1,1,3,1,0,2,5,1,5,2,0,0,0,5,10062
1,5,4,4,0,0,0,0,0,5,1,0,2,4,4,10063
0,2,0,2,1,0,2,0,0,5,0,0,0,1,5,10064
3,2,2,3,0,0,1,0,1,5,0,0,5,3,3,10065
0,1,0,1,0,0,0,0,0,5,0,0,1,1,2,10066
1,1,0,1,0,0,1,5,2,5,0,0,0,1,5,10067
