SubjID x6 x2 x3 x4 x5 x1 Patterns FreqPatterns initial_gik1 initial_gik2 final_gik1 final_gik2
10001 0 1 2 0 0 1 012001 1 0.5 0.5 1 0
10002 1 3 0 3 0 1 130301 3 0.5 0.5 1 0
10003 0 0 0 0 0 1 000001 7 0.5 0.5 1 0
10004 0 0 0 0 0 1 000001 7 0.5 0.5 1 0
10005 0 3 3 2 0 1 033201 2 0.5 0.5 1 0
10006 0 0 0 5 3 1 000531 2 0.5 0.5 0.7115 0.2885
10007 3 3 0 0 0 1 330001 2 0.5 0.5 0.7092 0.2908
10008 5 0 0 0 0 1 500001 1 0.5 0.5 0.7816 0.2184
10009 0 5 3 5 0 1 053501 1 0.5 0.5 0.4688 0.5312
10010 0 0 0 3 0 1 000301 2 0.5 0.5 1 0
10011 4 0 0 0 0 1 400001 1 0.5 0.5 1 0
10012 0 0 0 0 0 1 000001 7 0.5 0.5 1 0
10013 0 0 0 0 0 1 000001 7 0.5 0.5 1 0
10014 2 0 0 3 0 1 200301 1 0.5 0.5 0.7018 0.2982
10015 0 5 3 3 0 1 053301 1 0.5 0.5 0.6009 0.3991
10016 0 0 5 3 0 1 005301 1 0.5 0.5 0.7423 0.2577
10017 3 3 3 3 0 1 333301 3 0.5 0.5 0.396 0.604
10018 0 0 0 5 0 1 000501 1 0.5 0.5 0.7816 0.2184
10019 0 3 0 3 0 1 030301 2 0.5 0.5 1 0
10020 0 3 0 3 0 1 030301 2 0.5 0.5 1 0
10021 2 0 0 3 1 1 200311 1 0.5 0.5 0.7193 0.2807
10022 1 0 0 1 0 1 100101 2 0.5 0.5 1 0
10023 1 3 3 3 0 1 133301 1 0.5 0.5 1 0
10024 0 0 1 3 3 1 001331 1 0.5 0.5 1 0
10025 1 1 1 1 0 1 111101 1 0.5 0.5 1 0
10026 0 0 0 0 0 1 000001 7 0.5 0.5 1 0
10027 1 1 3 1 5 1 113151 1 0.5 0.5 1 0
10028 1 1 0 0 0 1 110001 1 0.5 0.5 1 0
10029 0 0 0 0 5 1 000051 1 0.5 0.5 1 0
10030 1 3 0 3 0 1 130301 3 0.5 0.5 1 0
10031 0 0 0 0 0 1 000001 7 0.5 0.5 1 0
10032 0 3 3 2 0 1 033201 2 0.5 0.5 1 0
10033 0 0 0 5 3 1 000531 2 0.5 0.5 0.7115 0.2885
10034 1 0 3 4 1 1 103411 1 0.5 0.5 1 0
10035 1 5 1 1 1 1 151111 1 0.5 0.5 0.8118 0.1882
10036 0 1 5 3 0 1 015301 1 0.5 0.5 0.7423 0.2577
10037 5 0 3 3 0 1 503301 1 0.5 0.5 0.6009 0.3991
10038 3 3 0 0 0 1 330001 2 0.5 0.5 0.7092 0.2908
10039 2 0 3 3 0 1 203301 1 0.5 0.5 0.6009 0.3991
10040 3 3 3 3 0 1 333301 3 0.5 0.5 0.396 0.604
10041 0 0 0 3 0 1 000301 2 0.5 0.5 1 0
10042 0 5 0 3 0 1 050301 2 0.5 0.5 0.7018 0.2982
10043 1 3 0 3 0 1 130301 3 0.5 0.5 1 0
10044 3 0 3 3 0 1 303301 1 0.5 0.5 0.6009 0.3991
10045 3 3 3 3 0 1 333301 3 0.5 0.5 0.396 0.604
10046 0 0 3 3 0 1 003301 1 0.5 0.5 1 0
10047 1 0 0 1 0 1 100101 2 0.5 0.5 1 0
10048 1 1 3 3 5 1 113351 1 0.5 0.5 1 0
10049 0 0 3 5 0 1 003501 1 0.5 0.5 0.7187 0.2813
10050 0 0 1 1 0 1 001101 3 0.5 0.5 1 0
10051 0 5 0 3 0 1 050301 2 0.5 0.5 0.7018 0.2982
10052 0 0 1 1 0 1 001101 3 0.5 0.5 1 0
10053 1 3 2 3 1 1 132311 1 0.5 0.5 1 0
10054 4 3 2 1 1 1 432111 1 0.5 0.5 1 0
10055 4 5 0 0 0 1 450001 1 0.5 0.5 0.6283 0.3717
10056 2 5 2 1 0 1 252101 1 0.5 0.5 0.6055 0.3945
10057 0 5 0 3 1 1 050311 1 0.5 0.5 0.7193 0.2807
10058 0 1 0 0 0 1 010001 1 0.5 0.5 1 0
10059 0 0 1 1 0 1 001101 3 0.5 0.5 1 0
10060 1 1 2 2 1 1 112211 1 0.5 0.5 1 0
10061 4 4 2 2 0 1 442201 1 0.5 0.5 0.5694 0.4306
10062 3 1 1 3 1 1 311311 1 0.5 0.5 0.7556 0.2444
10063 1 5 4 4 0 1 154401 1 0.5 0.5 0.6026 0.3974
10064 0 2 0 2 1 1 020211 1 0.5 0.5 1 0
10065 3 2 2 3 0 1 322301 1 0.5 0.5 0.665 0.335
10066 0 1 0 1 0 1 010101 1 0.5 0.5 1 0
10067 1 1 0 1 0 1 110101 3 0.5 0.5 1 0
10068 1 0 0 0 0 1 100001 2 0.5 0.5 1 0
10069 1 0 2 2 1 1 102211 1 0.5 0.5 1 0
10070 2 3 3 3 0 1 233301 1 0.5 0.5 0.396 0.604
10071 0 3 3 4 3 1 033431 1 0.5 0.5 0.8493 0.1507
10072 4 3 1 0 0 1 431001 1 0.5 0.5 1 0
10073 1 1 1 2 0 1 111201 1 0.5 0.5 1 0
10074 1 1 1 1 1 1 111111 1 0.5 0.5 1 0
10075 0 3 0 1 0 1 030101 1 0.5 0.5 1 0
10076 1 1 0 1 0 1 110101 3 0.5 0.5 1 0
10077 1 1 0 1 0 1 110101 3 0.5 0.5 1 0
10078 1 1 4 4 1 1 114411 1 0.5 0.5 1 0
10079 1 3 0 1 0 1 130101 1 0.5 0.5 1 0
10080 1 0 4 1 0 1 104101 1 0.5 0.5 1 0
10081 1 2 3 3 0 1 123301 1 0.5 0.5 1 0
10082 1 1 3 3 2 1 113321 1 0.5 0.5 0.6977 0.3023
10083 1 3 3 2 1 1 133211 1 0.5 0.5 1 0
10084 0 0 0 0 0 1 000001 7 0.5 0.5 1 0
10085 1 0 0 0 0 1 100001 2 0.5 0.5 1 0
10086 0 1 1 4 0 1 011401 1 0.5 0.5 1 0
10087 4 5 0 2 0 1 450201 1 0.5 0.5 0.4662 0.5338
20001 3 5 1 5 0 2 351502 1 0.5 0.5 0.204 0.796
20002 5 5 3 3 0 2 553302 1 0.5 0.5 0 1
20003 5 5 2 5 0 2 552502 1 0.5 0.5 0.204 0.796
20004 4 4 2 1 0 2 442102 1 0.5 0.5 0.4426 0.5574
20005 2 5 0 5 0 2 250502 1 0.5 0.5 0 1
20006 4 3 3 5 1 2 433512 1 0.5 0.5 0 1
20007 5 5 0 2 1 2 550212 1 0.5 0.5 0 1
20008 3 5 0 3 0 2 350302 3 0.5 0.5 0 1
20009 5 3 0 3 0 2 530302 1 0.5 0.5 0 1
20010 3 5 0 3 0 2 350302 3 0.5 0.5 0 1
20011 0 3 0 5 0 2 030502 1 0.5 0.5 0.3972 0.6028
20012 0 5 4 3 0 2 054302 1 0.5 0.5 0.2661 0.7339
20013 3 0 3 3 0 2 303302 1 0.5 0.5 0.287 0.713
20014 4 3 3 5 4 2 433542 2 0.5 0.5 0 1
20015 4 4 0 3 0 2 440302 1 0.5 0.5 0 1
20016 4 4 3 3 0 2 443302 1 0.5 0.5 0 1
20017 3 4 4 3 0 2 344302 1 0.5 0.5 0 1
20018 2 0 3 5 0 2 203502 1 0.5 0.5 0.2314 0.7686
20019 5 5 5 5 0 2 555502 3 0.5 0.5 0 1
20020 0 3 4 2 0 2 034202 1 0.5 0.5 0.369 0.631
20021 5 5 4 3 0 2 554302 1 0.5 0.5 0 1
20022 4 3 4 0 3 2 434032 1 0.5 0.5 0.2452 0.7548
20023 4 3 0 3 0 2 430302 1 0.5 0.5 0 1
20024 5 5 5 2 0 2 555202 2 0.5 0.5 0 1
20025 1 3 0 3 0 2 130302 1 0.5 0.5 0.5542 0.4458
20026 1 3 2 3 0 2 132302 1 0.5 0.5 0.6436 0.3564
20027 3 3 3 3 3 2 333332 1 0.5 0.5 0 1
20028 3 5 3 5 0 2 353502 2 0.5 0.5 0 1
20029 2 3 5 3 3 2 235332 1 0.5 0.5 0 1
20030 3 0 3 5 0 2 303502 3 0.5 0.5 0.2314 0.7686
20031 3 5 3 5 0 2 353502 2 0.5 0.5 0 1
20032 3 3 3 3 0 2 333302 1 0.5 0.5 0 1
20033 3 5 5 5 0 2 355502 1 0.5 0.5 0 1
20034 3 0 3 5 0 2 303502 3 0.5 0.5 0.2314 0.7686
20035 3 3 0 3 0 2 330302 1 0.5 0.5 0 1
20036 5 0 0 4 1 2 500412 1 0.5 0.5 0.4696 0.5304
20037 4 4 0 5 2 2 440522 1 0.5 0.5 0 1
20038 3 3 0 5 1 2 330512 1 0.5 0.5 0 1
20039 2 3 5 5 1 2 235512 1 0.5 0.5 0 1
20040 3 5 5 3 3 2 355332 2 0.5 0.5 0 1
20041 3 5 5 3 3 2 355332 2 0.5 0.5 0 1
20042 0 5 5 5 0 2 055502 2 0.5 0.5 0.204 0.796
20043 3 3 5 5 0 2 335502 1 0.5 0.5 0 1
20044 2 3 0 3 0 2 230302 1 0.5 0.5 0 1
20045 4 3 3 5 4 2 433542 2 0.5 0.5 0 1
20046 5 5 1 5 1 2 551512 1 0.5 0.5 0.2171 0.7829
20047 1 5 5 4 1 2 155412 1 0.5 0.5 0.2986 0.7014
20048 3 0 3 5 0 2 303502 3 0.5 0.5 0.2314 0.7686
20049 3 5 0 3 0 2 350302 3 0.5 0.5 0 1
20050 3 3 5 2 0 2 335202 1 0.5 0.5 0 1
20051 5 3 5 2 0 2 535202 1 0.5 0.5 0 1
20052 3 5 5 2 0 2 355202 1 0.5 0.5 0 1
20053 5 5 5 2 0 2 555202 2 0.5 0.5 0 1
20054 2 4 4 3 0 2 244302 1 0.5 0.5 0 1
20055 5 4 3 3 0 2 543302 1 0.5 0.5 0 1
20056 0 0 0 3 0 2 000302 1 0.5 0.5 0.7018 0.2982
