SubjID x02 x03 x04 x05 x06 x07 x08 x09 x10 x11 x12 x13 x14 x15 x16 x17 x01 Patterns FreqPatterns initial_gik1 initial_gik2 final_gik1 final_gik2
101001 3 1 2 1 1 4 2 1 1 1 2 1 1 1 2 1 1 312 78 0.5 0.5 0 1
101002 2 1 2 1 1 4 3 1 1 2 2 1 1 1 2 1 1 212 56 0.5 0.5 0 1
101003 1 1 1 2 2 3 4 1 1 2 3 1 1 1 2 1 1 111 33 0.5 0.5 1 0
101004 3 1 2 1 1 4 3 1 1 1 1 2 1 1 2 1 1 312 78 0.5 0.5 0 1
101005 3 1 3 3 1 4 2 1 1 2 2 2 1 1 2 2 1 313 3 0.5 0.5 1 0
101006 1 1 1 2 2 2 2 1 1 2 1 1 1 1 2 1 1 111 33 0.5 0.5 1 0
101007 2 1 1 1 1 2 3 1 1 1 1 1 1 1 2 1 1 211 39 0.5 0.5 0.5539 0.4461
101008 1 3 2 1 1 3 3 1 1 1 2 1 2 2 1 1 1 132 7 0.5 0.5 0.3333 0.6667
101009 1 1 3 3 3 1 3 1 1 2 1 2 1 1 2 1 1 113 4 0.5 0.5 1 0
101010 3 1 1 1 1 3 5 1 1 1 4 1 1 1 2 1 1 311 103 0.5 0.5 1 0
101011 2 1 1 2 2 4 2 1 1 2 4 1 1 1 2 2 1 211 39 0.5 0.5 0.5539 0.4461
101012 1 1 1 2 2 1 5 1 1 2 2 1 1 1 2 1 1 111 33 0.5 0.5 1 0
101013 3 1 1 1 1 3 2 1 2 2 2 1 1 1 2 2 1 311 103 0.5 0.5 1 0
101014 1 1 1 2 2 2 3 1 1 1 4 1 1 1 2 1 1 111 33 0.5 0.5 1 0
101015 2 1 2 2 2 4 2 1 1 2 3 1 1 1 2 2 1 212 56 0.5 0.5 0 1
101016 3 1 2 1 1 3 3 1 2 2 1 1 1 1 2 1 1 312 78 0.5 0.5 0 1
101017 2 2 1 4 2 4 3 1 1 1 1 2 1 1 2 1 1 221 10 0.5 0.5 0.3333 0.6667
101018 3 1 2 4 4 3 4 1 1 1 1 2 1 1 2 1 1 312 78 0.5 0.5 0 1
101019 3 1 2 3 3 4 4 1 1 1 1 2 1 1 2 1 1 312 78 0.5 0.5 0 1
101020 3 2 2 4 3 4 3 1 2 1 2 2 1 1 2 1 1 322 14 0.5 0.5 0 1
101021 1 1 1 3 3 4 3 1 1 1 2 2 1 1 2 1 1 111 33 0.5 0.5 1 0
101022 3 1 2 3 3 4 3 1 1 2 1 2 1 1 2 1 1 312 78 0.5 0.5 0 1
101023 3 1 1 3 3 1 3 1 1 2 2 2 1 1 2 1 1 311 103 0.5 0.5 1 0
101024 2 2 2 4 3 1 4 1 1 2 1 2 1 1 2 2 1 222 13 0.5 0.5 0 1
101025 3 1 1 3 3 4 3 1 1 1 2 2 1 3 2 2 1 311 103 0.5 0.5 1 0
101026 3 1 1 1 1 4 3 1 1 2 1 2 1 1 2 2 1 311 103 0.5 0.5 1 0
101027 3 1 1 3 3 3 4 1 1 2 2 2 1 1 2 2 1 311 103 0.5 0.5 1 0
101028 2 2 2 4 3 1 3 1 1 1 1 2 1 1 2 1 1 222 13 0.5 0.5 0 1
101029 3 1 1 3 3 3 2 1 1 1 1 2 1 1 2 2 1 311 103 0.5 0.5 1 0
101030 3 1 1 3 3 1 2 1 1 2 1 2 1 1 2 2 1 311 103 0.5 0.5 1 0
101031 1 2 3 4 3 4 3 1 1 2 1 2 1 1 2 1 1 123 3 0.5 0.5 0.6667 0.3333
101032 3 1 1 3 3 1 3 1 1 1 1 2 1 1 2 2 1 311 103 0.5 0.5 1 0
101033 2 2 1 4 1 2 3 1 1 1 1 2 1 1 2 2 1 221 10 0.5 0.5 0.3333 0.6667
101034 3 2 1 4 3 4 2 1 1 1 1 2 1 1 2 1 1 321 14 0.5 0.5 0.5177 0.4823
101035 3 1 3 3 3 3 5 1 1 1 1 2 1 1 2 2 1 313 3 0.5 0.5 1 0
101036 3 2 1 4 2 3 4 1 1 2 2 2 1 1 2 2 1 321 14 0.5 0.5 0.5177 0.4823
101037 2 1 1 3 3 1 4 1 1 2 2 1 1 1 2 2 1 211 39 0.5 0.5 0.5539 0.4461
101038 3 1 1 3 3 2 3 1 1 2 4 1 1 1 2 2 1 311 103 0.5 0.5 1 0
101039 3 1 1 3 3 4 4 1 1 1 3 1 1 1 2 1 1 311 103 0.5 0.5 1 0
101040 3 1 2 3 3 2 3 1 1 2 4 1 1 1 2 2 1 312 78 0.5 0.5 0 1
101041 3 2 1 4 2 3 3 1 1 1 3 1 1 2 2 2 1 321 14 0.5 0.5 0.5177 0.4823
101042 3 1 2 1 1 2 2 1 1 1 1 2 2 2 1 2 1 312 78 0.5 0.5 0 1
101043 3 1 1 1 1 3 3 1 1 1 1 1 2 1 1 1 1 311 103 0.5 0.5 1 0
101044 3 1 1 1 1 1 2 1 1 2 1 1 1 1 2 2 1 311 103 0.5 0.5 1 0
101045 1 1 1 1 1 4 2 1 1 2 1 1 1 1 2 1 1 111 33 0.5 0.5 1 0
