SubjID Var1 Var2 Var3 Patterns FreqPatterns initial_gik1 initial_gik2 initial_gik3 initial_gik4 final_gik1 final_gik2 final_gik3 final_gik4
ID1 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0.5672 0 0.4328
ID10 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID100 3 1 2 312 41 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID1000 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID101 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0.5672 0 0.4328
ID102 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID103 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID104 3 2 1 321 41 0.25 0.25 0.25 0.25 0 1 0 0
ID105 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID106 1 1 4 114 45 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID107 3 1 1 311 39 0.25 0.25 0.25 0.25 0 1 0 0
ID108 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID109 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID11 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0 1
ID110 2 2 2 222 30 0.25 0.25 0.25 0.25 0.3333 0 0.1679 0.4988
ID111 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID112 2 2 2 222 30 0.25 0.25 0.25 0.25 0.3333 0 0.1679 0.4988
ID113 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID114 3 1 1 311 39 0.25 0.25 0.25 0.25 0 1 0 0
ID115 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0 1
ID116 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID117 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID118 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID119 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID12 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID120 3 1 3 313 40 0.25 0.25 0.25 0.25 0.1061 0.5606 0.3333 0
ID121 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID122 3 1 1 311 39 0.25 0.25 0.25 0.25 0 1 0 0
ID123 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID124 3 1 3 313 40 0.25 0.25 0.25 0.25 0.1061 0.5606 0.3333 0
ID125 1 1 4 114 45 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID126 3 1 1 311 39 0.25 0.25 0.25 0.25 0 1 0 0
ID127 3 1 2 312 41 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID128 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0.6667 0 0
ID129 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID13 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID130 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0.6667 0 0
ID131 3 1 4 314 40 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID132 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID133 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0 1
ID134 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID135 3 1 4 314 40 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID136 3 1 3 313 40 0.25 0.25 0.25 0.25 0.1061 0.5606 0.3333 0
ID137 3 1 4 314 40 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID138 2 2 1 221 26 0.25 0.25 0.25 0.25 0 0.5672 0 0.4328
ID139 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID14 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.0025 0.9975
ID140 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID141 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID142 3 2 1 321 41 0.25 0.25 0.25 0.25 0 1 0 0
ID143 3 1 1 311 39 0.25 0.25 0.25 0.25 0 1 0 0
ID144 2 2 1 221 26 0.25 0.25 0.25 0.25 0 0.5672 0 0.4328
ID145 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID146 3 2 3 323 47 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID147 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID148 3 1 3 313 40 0.25 0.25 0.25 0.25 0.1061 0.5606 0.3333 0
ID149 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.0025 0.9975
ID15 3 1 3 313 40 0.25 0.25 0.25 0.25 0.1061 0.5606 0.3333 0
ID150 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID151 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID152 3 1 1 311 39 0.25 0.25 0.25 0.25 0 1 0 0
ID153 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID154 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID155 3 1 4 314 40 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID156 3 2 1 321 41 0.25 0.25 0.25 0.25 0 1 0 0
ID157 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0.5672 0 0.4328
ID158 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID159 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.0025 0.9975
ID16 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID160 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.0025 0.9975
ID161 1 1 4 114 45 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID162 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID163 3 1 3 313 40 0.25 0.25 0.25 0.25 0.1061 0.5606 0.3333 0
ID164 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0.5672 0 0.4328
ID165 1 1 4 114 45 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID166 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.0025 0.9975
ID167 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID168 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID169 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0.6667 0 0
ID17 3 2 1 321 41 0.25 0.25 0.25 0.25 0 1 0 0
ID170 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0.5672 0 0.4328
ID171 1 1 4 114 45 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID172 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0.5672 0 0.4328
ID173 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0 1
ID174 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID175 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID176 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID177 3 2 3 323 47 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID178 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID179 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.0025 0.9975
ID18 3 2 3 323 47 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID180 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.0025 0.9975
ID181 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0 1 0
ID182 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.0025 0.9975
ID183 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID184 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID185 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID186 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0 1 0
ID187 3 2 1 321 41 0.25 0.25 0.25 0.25 0 1 0 0
ID188 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID189 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID19 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID190 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID191 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID192 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID193 1 1 4 114 45 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID194 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID195 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID196 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0.6667 0 0
ID197 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0.6667 0 0
ID198 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0 1
ID199 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID2 3 2 1 321 41 0.25 0.25 0.25 0.25 0 1 0 0
ID20 1 1 4 114 45 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID200 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID201 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0.6667 0 0
ID202 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID203 3 2 1 321 41 0.25 0.25 0.25 0.25 0 1 0 0
ID204 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.0025 0.9975
ID205 3 2 3 323 47 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID206 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID207 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID208 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
