SubjID, x02, x03, x04, x05, x06, x07, x08, x09, x10, x11, x12, x13, x14, x15, x16, x17, x01
101001,   3,   1,   2,   1,   1,   4,   2,   1,   1,   1,   2,   1,   1,   1,   2,   1,   1
101002,   2,   1,   2,   1,   1,   4,   3,   1,   1,   2,   2,   1,   1,   1,   2,   1,   1
101003,   1,   1,   1,   2,   2,   3,   4,   1,   1,   2,   3,   1,   1,   1,   2,   1,   1
101004,   3,   1,   2,   1,   1,   4,   3,   1,   1,   1,   1,   2,   1,   1,   2,   1,   1
101005,   3,   1,   3,   3,   1,   4,   2,   1,   1,   2,   2,   2,   1,   1,   2,   2,   1
101006,   1,   1,   1,   2,   2,   2,   2,   1,   1,   2,   1,   1,   1,   1,   2,   1,   1
101007,   2,   1,   1,   1,   1,   2,   3,   1,   1,   1,   1,   1,   1,   1,   2,   1,   1
101008,   1,   3,   2,   1,   1,   3,   3,   1,   1,   1,   2,   1,   2,   2,   1,   1,   1
101009,   1,   1,   3,   3,   3,   1,   3,   1,   1,   2,   1,   2,   1,   1,   2,   1,   1
101010,   3,   1,   1,   1,   1,   3,   5,   1,   1,   1,   4,   1,   1,   1,   2,   1,   1
101011,   2,   1,   1,   2,   2,   4,   2,   1,   1,   2,   4,   1,   1,   1,   2,   2,   1
101012,   1,   1,   1,   2,   2,   1,   5,   1,   1,   2,   2,   1,   1,   1,   2,   1,   1
101013,   3,   1,   1,   1,   1,   3,   2,   1,   2,   2,   2,   1,   1,   1,   2,   2,   1
101014,   1,   1,   1,   2,   2,   2,   3,   1,   1,   1,   4,   1,   1,   1,   2,   1,   1
101015,   2,   1,   2,   2,   2,   4,   2,   1,   1,   2,   3,   1,   1,   1,   2,   2,   1
101016,   3,   1,   2,   1,   1,   3,   3,   1,   2,   2,   1,   1,   1,   1,   2,   1,   1
101017,   2,   2,   1,   4,   2,   4,   3,   1,   1,   1,   1,   2,   1,   1,   2,   1,   1
101018,   3,   1,   2,   4,   4,   3,   4,   1,   1,   1,   1,   2,   1,   1,   2,   1,   1
101019,   3,   1,   2,   3,   3,   4,   4,   1,   1,   1,   1,   2,   1,   1,   2,   1,   1
101020,   3,   2,   2,   4,   3,   4,   3,   1,   2,   1,   2,   2,   1,   1,   2,   1,   1
101021,   1,   1,   1,   3,   3,   4,   3,   1,   1,   1,   2,   2,   1,   1,   2,   1,   1
